station_name,train_length,test_length,split_time,forecast_method,mape
AlbroPlaceAirportWay,4032,4,1,pred_forecastHybrid,0.0100254852849115
AlbroPlaceAirportWay,4032,4,1,pred_prophet,0.114669205101199
AlbroPlaceAirportWay,4032,24,1,pred_auto.arima,0.0765738621826961
AlbroPlaceAirportWay,4032,24,1,pred_forecastHybrid,0.0375007533180929
AlbroPlaceAirportWay,4032,24,1,pred_prophet,0.0455243312605724
AlbroPlaceAirportWay,4032,168,1,pred_auto.arima,
AlbroPlaceAirportWay,4032,168,1,pred_forecastHybrid,0.0469091446944618
AlbroPlaceAirportWay,4032,168,1,pred_prophet,0.0495810558138089
AlbroPlaceAirportWay,4032,672,1,pred_auto.arima,
AlbroPlaceAirportWay,4032,672,1,pred_forecastHybrid,0.178752353001489
AlbroPlaceAirportWay,4032,672,1,pred_prophet,0.182341065649036
AuroraBridge,24,4,1,pred_auto.arima,0.118116141879356
AuroraBridge,24,4,1,pred_forecastHybrid,0.00727753522356272
AuroraBridge,24,4,1,pred_prophet,0.0705444461803975
AuroraBridge,24,24,1,pred_auto.arima,0.0666160089776287
AuroraBridge,24,24,1,pred_forecastHybrid,0.377150418231553
AuroraBridge,24,24,1,pred_prophet,0.24671127414178
AuroraBridge,24,168,1,pred_auto.arima,0.0770882822011349
AuroraBridge,24,168,1,pred_forecastHybrid,0.0967843440312327
AuroraBridge,24,168,1,pred_prophet,0.967385206220477
AuroraBridge,24,672,1,pred_auto.arima,0.0573634555366026
AuroraBridge,24,672,1,pred_forecastHybrid,2.59463448361014
AuroraBridge,24,672,1,pred_prophet,0.357469759052432
AuroraBridge,168,4,1,pred_auto.arima,0.181997862445249
AuroraBridge,168,4,1,pred_forecastHybrid,0.0157851683561792
AuroraBridge,168,4,1,pred_prophet,0.0735354640710648
AuroraBridge,168,24,1,pred_auto.arima,0.0331555075904635
AuroraBridge,168,24,1,pred_forecastHybrid,0.0724355859036317
AuroraBridge,168,24,1,pred_prophet,0.093688530901706
AuroraBridge,168,168,1,pred_auto.arima,0.220812263738784
