station_name,train_length,test_length,split_time,forecast_method,mape,interval_accuracy
35thAveSW_SWMyrtleSt,2688,4,2014-06-25T23:00:00Z,pred_forecastHybrid,0.0090825856622964,1
35thAveSW_SWMyrtleSt,2688,4,2014-06-25T23:00:00Z,pred_prophet,0.0418871799088518,1
35thAveSW_SWMyrtleSt,2688,4,2014-11-26T06:00:00Z,pred_auto.arima,0.091880113731345,1
35thAveSW_SWMyrtleSt,2688,4,2014-11-26T06:00:00Z,pred_forecastHybrid,0.0700180758156848,1
35thAveSW_SWMyrtleSt,2688,4,2014-11-26T06:00:00Z,pred_prophet,0.276510370640274,1
35thAveSW_SWMyrtleSt,2688,24,2015-01-19T03:00:00Z,pred_auto.arima,0.00841067258099433,1
35thAveSW_SWMyrtleSt,2688,24,2015-01-19T03:00:00Z,pred_forecastHybrid,0.00754654528514594,1
35thAveSW_SWMyrtleSt,2688,24,2015-01-19T03:00:00Z,pred_prophet,0.0458174927923325,1
35thAveSW_SWMyrtleSt,2688,24,2015-07-24T00:00:00Z,pred_auto.arima,0.0199740206313051,1
35thAveSW_SWMyrtleSt,2688,24,2015-07-24T00:00:00Z,pred_forecastHybrid,0.015465011041269,1
35thAveSW_SWMyrtleSt,2688,24,2015-07-24T00:00:00Z,pred_prophet,0.018835112101559,1
35thAveSW_SWMyrtleSt,2688,24,2015-01-25T05:00:00Z,pred_auto.arima,0.0299319499573812,1
35thAveSW_SWMyrtleSt,2688,24,2015-01-25T05:00:00Z,pred_forecastHybrid,0.0158714667526683,1
35thAveSW_SWMyrtleSt,2688,24,2015-01-25T05:00:00Z,pred_prophet,0.072324948025875,1
35thAveSW_SWMyrtleSt,2688,168,2014-07-18T17:00:00Z,pred_auto.arima,0.190475712329501,1
35thAveSW_SWMyrtleSt,2688,168,2014-07-18T17:00:00Z,pred_forecastHybrid,0.372937004635481,1
35thAveSW_SWMyrtleSt,2688,168,2014-07-18T17:00:00Z,pred_prophet,0.24089915473061,0.303571428571429
35thAveSW_SWMyrtleSt,2688,168,2015-08-03T19:00:00Z,pred_auto.arima,0.061822725812205,0.726190476190476
35thAveSW_SWMyrtleSt,2688,168,2015-08-03T19:00:00Z,pred_forecastHybrid,0.0977504827759899,1
35thAveSW_SWMyrtleSt,2688,168,2015-08-03T19:00:00Z,pred_prophet,0.0229372074400378,0.910714285714286
35thAveSW_SWMyrtleSt,2688,168,2015-10-09T08:00:00Z,pred_auto.arima,0.0284966720636814,1
35thAveSW_SWMyrtleSt,2688,168,2015-10-09T08:00:00Z,pred_forecastHybrid,0.0220488559615713,1
35thAveSW_SWMyrtleSt,2688,168,2015-10-09T08:00:00Z,pred_prophet,0.0215090991722229,0.994047619047619
35thAveSW_SWMyrtleSt,2688,672,2015-06-29T16:00:00Z,pred_auto.arima,0.0588872115479316,0.976190476190476
35thAveSW_SWMyrtleSt,2688,672,2015-06-29T16:00:00Z,pred_forecastHybrid,0.0995233793238662,1
35thAveSW_SWMyrtleSt,2688,672,2015-06-29T16:00:00Z,pred_prophet,0.0434159794746351,0.947916666666667
